Gene_ID	Vegetative_Meristem_16-19Day	6-7_internode	7-8_internode	Juvenile_Leaf_Blade3	Leaf_Zone 1_Symmetrical	Leaf_Zone 2_Stomatal	Leaf_Zone 3_Growth	Mature_Leaf_8	Primary_Root_5Days	Root_Meristem_Zone_5Days	Root_Cortex_5Days	Root_Stelle_5Days	Root_Elongation_Zone_5Days	Secondary_Root_7-8_Days	Tassel	Anther_1.0mm	Anther_2.0mm	W23_Pollen	B73_Mature_Pollen	B73_Germ_Pollen	Female_Spikelet	Ear_Primordium_1mm	Ear_Primordium_2-4mm	Ear_Primordium_6-8mm	Silk_unpollinated	Endosperm_8_DAP	Endosperm_10_DAP	Endosperm_12_DAP	Endosperm Crown_27_DAP	Pericarp_Aleurone_27_DAP	Embryo_20_DAP	Embryo_38_DAP	Germ_Kernels_2_DAI
Zm00001d033480	1579.601974	830.0431021	2202.642933	120.3715681	1157.18036	977.660158	1078.803282	284.3644869	2941.631797	564.2971642	2560.305077	9296.960603	1380.492383	1952.447363	2526.805108	1134.681575	1706.433835	816.4885808	3137.704524	1768.017564	1552.671411	872.6975587	1364.41454	1880.781215	2289.086283	1373.467475	1274.182865	739.3290836	148.6827356	763.5724561	851.1899797	284.1948713	245.3897197
Zm00001d003322	44.80637069	0	0	0	0	11.72607802	0	0	0	0	0	0	0	0	48.39656569	0	0	0	0	0	0	0	0	8.093902257	0	0	0	0	0	0	83.04464606	0	0
Zm00001d039517	0	0	0	0	0	0	0	0	0	12.00232978	52.90503178	6.420362987	0	0	0	16.69649166	24.1160993	320.2750734	742.9049587	228.190881	0	6.762936507	0	0	0	7.396869021	13.91832163	0	0	0	0	0	5.008294011
Zm00001d035500	1233.381682	666.5096945	1091.172564	47.07259701	613.0298241	538.123248	331.8561382	113.5577616	26.09177016	191.3835018	160.4323542	165.5861503	131.8072256	429.6354171	339.8206086	389.2146475	288.8887871	180.8419544	0	0	313.7605045	469.794514	467.2032552	320.1264495	201.6179802	299.9478483	346.3193603	297.6427363	1102.285112	1662.587808	739.7201513	656.8619153	451.9662882
Zm00001d053649	7291.862576	6210.194267	9411.75054	969.9966428	7715.748866	8061.088774	7592.494062	844.2068643	6214.74578	7034.513078	9789.970423	6938.009525	7225.995166	8764.519989	6907.502415	3116.236393	3156.309341	541.9611034	2589.11978	863.1443027	9727.723585	6824.192888	9994.854183	13573.74618	7862.10912	4831.01448	4159.495804	2925.87619	2805.924755	3203.310163	3041.307377	2077.313075	7521.823395
Zm00001d018615	0	0	9.399266558	0	0	0	0	0	0	0	1.62586482	0	0	0	0	0	0	0	0	0	0	0	4.827167377	0	0	0	0	0	19.31229113	0	9.072115137	0	0
Zm00001d013568	2705.447525	4835.749812	4077.369677	654.2730245	11136.8088	11251.3302	7891.821435	1273.115682	9399.171955	18997.3579	18362.45842	10443.25986	19648.61847	20762.44681	5120.54196	1874.068786	1437.359421	10.28642901	2793.429871	1636.189133	3277.296223	7851.462489	14510.7303	9393.007999	3120.691486	3173.547814	5303.607668	6492.996751	851.1935185	2185.855282	5343.194993	3102.426033	5719.313826
Zm00001d028931	0	0	0	0	0	0	0	165.1306229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d028396	551.2017168	1042.56935	686.5544522	79.24446281	2014.098061	1841.499881	1450.396807	0	320.8423228	1501.390715	1195.776939	2130.530759	1770.185076	1320.321079	1011.018175	1256.034248	1342.572091	0	0	0	1866.307928	1254.660197	1897.937495	840.4310312	928.7628559	1599.858918	1953.884342	1735.020876	57.96169797	667.5133748	1667.546277	0	1037.629018
Zm00001d053886	24.73913462	0	4.784187423	14.16030188	6.821002078	0	0	1.410143596	0	0	10.65157586	2.575807367	0	0	3.66580822	0	13.03165168	11.21048107	67.73818984	22.55473992	24.0289903	16.07324769	27.92403532	34.74503758	4.554440518	19.3684585	0	0	0	86.2883637	31.36946906	7.374609068	0
